First,First_Type_1,First_Type_2,First_HP,First_Attack,First_Defense,First_Sp_Atk,First_Sp_Def,First_Speed,First_Legendary,Second,Second_Type_1,Second_Type_2,Second_HP,Second_Attack,Second_Defense,Second_Sp_Atk,Second_Sp_Def,Second_Speed,Second_Legendary
266,9.0,12.0,50,64,50,45,50,41,0.0,298,14.0,4.0,70,70,40,60,40,60,0.0
702,12.0,5.0,91,90,72,90,129,108,0.0,701,12.0,15.0,91,129,90,72,90,108,0.0
191,17.0,4.0,55,40,85,80,105,40,0.0,668,2.0,12.0,75,75,75,125,95,40,0.0
237,16.0,7.0,40,40,40,70,40,20,0.0,683,0.0,6.0,77,120,90,60,90,48,0.0
151,3.0,7.0,70,60,125,115,70,55,1.0,231,11.0,10.0,20,10,230,10,230,5,0.0
657,2.0,12.0,50,47,50,57,50,65,0.0,752,15.0,2.0,60,50,150,50,150,60,0.0
192,17.0,4.0,40,50,45,70,45,70,0.0,134,17.0,12.0,65,50,35,115,95,95,0.0
73,9.0,14.0,70,80,50,35,35,35,0.0,545,6.0,12.0,150,100,120,100,120,90,0.0
220,17.0,14.0,50,65,90,35,35,15,0.0,763,16.0,4.0,50,53,62,58,63,44,0.0
302,9.0,5.0,40,30,30,55,30,85,0.0,31,3.0,12.0,35,55,40,50,50,90,0.0
442,9.0,14.0,40,55,30,30,30,60,0.0,130,6.0,12.0,30,45,55,70,55,85,0.0
701,12.0,15.0,91,129,90,72,90,108,0.0,624,14.0,12.0,38,30,85,55,65,30,0.0
15,0.0,7.0,50,20,55,25,25,30,0.0,283,0.0,12.0,100,110,90,85,90,60,0.0
151,3.0,7.0,70,60,125,115,70,55,1.0,87,12.0,7.0,95,75,110,100,80,30,0.0
269,6.0,5.0,100,164,150,95,120,71,0.0,462,8.0,7.0,70,94,50,94,50,66,0.0
763,16.0,4.0,50,53,62,58,63,44,0.0,448,0.0,9.0,77,85,51,55,51,65,0.0
143,15.0,18.0,130,85,80,85,95,60,0.0,263,14.0,9.0,90,85,75,115,100,115,0.0
365,17.0,1.0,45,40,60,40,75,50,0.0,240,1.0,6.0,100,100,80,60,60,50,0.0
499,9.0,11.0,70,145,88,140,70,112,0.0,774,11.0,12.0,50,50,150,50,150,50,0.0
563,17.0,12.0,95,100,85,108,70,70,0.0,578,12.0,12.0,116,55,85,107,95,29,0.0
440,3.0,12.0,64,66,68,81,76,50,0.0,687,9.0,5.0,65,125,100,60,70,70,1.0
373,17.0,12.0,110,78,73,76,71,60,0.0,441,9.0,14.0,84,86,88,111,101,60,0.0
654,8.0,6.0,55,40,50,65,85,40,0.0,671,1.0,17.0,60,55,90,145,90,80,0.0
121,17.0,12.0,105,130,120,45,45,40,0.0,355,12.0,7.0,70,120,100,145,105,20,0.0
